token_id,collection_name,current_price,predicted_price,pricing,Mouth,Background,Fur,Clothes,Eyes,Hat,Earring,image_url,contract_address,timestamp
2952,BoredApeYachtClub,249.69,80.87049999999996,overpriced,Jovial,Orange,Death Bot,Tuxedo Tee,Angry,Halo,,https://lh3.googleusercontent.com/aVwHLqECPJjpDTqFJAQsFFe9YbPNDgLur2UvgpRxc_jA-LbbodANTC9mWc0c8e-0fkwO-3uXzvSlYaYcBfG-Chrb4aGkfmxdkmj-Og,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:33:52.239629
2956,BoredApeYachtClub,105.0,112.92399999999998,underpriced,Bored,Purple,White,Sleeveless Logo T,Bloodshot,Bowler,Silver Hoop,https://lh3.googleusercontent.com/twKNzvKc456kuSSkCW8wYsX5uRCTwfDF5fZlT6HnkG6rnE1Z67QcBzS97YMdB-0v6bb7utGNLRLaIOa_xBXonpD6aOXZapj1HvMaQw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:33:58.313794
2959,BoredApeYachtClub,369.69,304.5854999999999,overpriced,Phoneme L,Purple,Robot,Tweed Suit,Bloodshot,,Silver Stud,https://lh3.googleusercontent.com/7eFr8Pup_nMrEa8g4BZU8xPpYRzv2BUUUUCxBiSgxSXAwOIFBMzAqPtWueseqkyTzfyl0Wp2AeyDlYzFaiLOtNAk1h25j4ghy9y5Dc4,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:34:03.103566
2966,BoredApeYachtClub,125.0,109.61399999999999,overpriced,Bored Cigar,Army Green,Gray,Sleeveless Logo T,Bored,,Silver Stud,https://lh3.googleusercontent.com/-QmhTgRjr_Algkp9t0_Yb5FvvaAVy8idBGToz1GTb3p-FDofXRRJSqfnva2jwuZoQoovNKzDTLb0d3ckfizN5abxdi8-cDdWSOv4aQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:34:14.064785
2969,BoredApeYachtClub,75.95,81.49550000000002,underpriced,Grin Multicolored,Yellow,Brown,,Robot,Sea Captain's Hat,,https://lh3.googleusercontent.com/dm7FSxomBPH-OEKJ0BxpTjU9g7cZQO1-IRo6p1MGkOPIC2y8GSApj4-tSjOStDNvv8ScB-q1NrVYniVF6rLYHTPR1GXrOdwQbAeezw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:34:18.920473
2975,BoredApeYachtClub,180.0,139.214,overpriced,Bored,New Punk Blue,White,,Sleepy,Bayc Hat Red,,https://lh3.googleusercontent.com/QBsSrwoMpeZzuqlGHoFsXN2qPT8aGCgdYi38q2_Nshln160dn_N4VEnSnlIdQkH1XixbKGngY4KJC2Zufzlxqe7HfXiQ_EV6_rIv,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:34:28.253089
2980,BoredApeYachtClub,299.0,252.45699999999997,overpriced,Bored Unshaven Dagger,New Punk Blue,Red,Sleeveless Logo T,Sunglasses,Army Hat,Silver Hoop,https://lh3.googleusercontent.com/e5moD_ko20y7H2Z3Ow2L_6KYa9ITaH8nqYSE3ssHRPM3G8tbFme7omIFKN92z2GrzvGZnB2XHhQ6QHPKNFma3SLRqLwT2p_j7R1NYP0,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:34:35.946453
2986,BoredApeYachtClub,666.0,493.236,overpriced,Bored,Aquamarine,Robot,Kings Robe,Bored,Party Hat 2,Cross,https://lh3.googleusercontent.com/pnJoJVgTtd2DHTHtWRUVaAvtRlcqH2WZQF6YfYj0D0kH3NuaFMzkq3G1Nfi_tJP2xN9jorEIYMQvWs3ioGKKwqV1zyOZANQ_ZoSd9Q,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:34:45.106238
2998,BoredApeYachtClub,145.0,138.401,overpriced,Bored Unshaven,Yellow,Death Bot,Prison Jumpsuit,Bored,Army Hat,,https://lh3.googleusercontent.com/HbKu6D_FB2au5DG4ov5gNpM63uwbBmEw7p0nhYALtI5wGn17rS7A28aoDP9fXjDMQRPOzHH29rLw8yfFBEZnOXr0GfvvshViIVeo,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:35:03.781294
3000,BoredApeYachtClub,300.0,238.618,overpriced,Grin,Blue,Tan,Black T,3d,Fisherman's Hat,Silver Hoop,https://lh3.googleusercontent.com/v2uImqX9TrFvHd3bc3hzJDb8bfeeaUHBEWSzmabhnNZQ9RzDrCueOoTXAJP8xwIKy0mbtbRxWmk-nkYgxz0hLmBwilj2LWUkINU,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:35:06.772473
3013,BoredApeYachtClub,350.0,84.5953,overpriced,Bored,Aquamarine,Black,Puffy Vest,Sleepy,Horns,,https://lh3.googleusercontent.com/6LJ4o_V5Fyiv9DDWgMP-_M725f4UoDiVwGJx56gp5pPD66-WbZ9kEglm3tkKodGX8OIuM7N_8-eK55uN4gjHKfj4mo3gYY7Xc7SWUg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:35:27.299232
3020,BoredApeYachtClub,110.0,102.002,overpriced,Bored Unshaven,Orange,Red,,Sleepy,Fez,,https://lh3.googleusercontent.com/zTXFuXmoLUitIucGxMxXXLUS8lGtrxagDMkoFfOFfGycqkkuzsblt0h6SdSPuK6qR9OiaRycZ6MKYF1YuSix9t0Q4WkG_nq2S0Dq,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:35:38.144209
3022,BoredApeYachtClub,135.69,130.65200000000002,overpriced,Grin Diamond Grill,Yellow,White,Guayabera,Heart,Fisherman's Hat,,https://lh3.googleusercontent.com/9lFOSXN4lrJhzUrk3QlAmkyBh5AhNTPKB-evPXjiC9l0uTY0rrkpsxinC0bemZxU6wz51N2beUZJJK-kOPVqaIxhg-kkzrjSVKmmTbM,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:35:41.356264
3028,BoredApeYachtClub,120.0,143.63240000000002,underpriced,Discomfort,New Punk Blue,Dark Brown,Prison Jumpsuit,Wide Eyed,Halo,,https://lh3.googleusercontent.com/L2HX605vTQo2ACJ301gpu1xEiYSlUUf9yDw9o0ShRgnkbzUiBR3rGZhJGul3JMc-ACQQqtOdMk1LKpLXFtrOYvlD1Dm1TAofpwDQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:35:50.847677
3032,BoredApeYachtClub,99.0,110.22449999999999,underpriced,Tongue Out,Yellow,Tan,Blue Dress,Zombie,Fez,,https://lh3.googleusercontent.com/HOft72zrIBrBmva9E20tf-804108Qxg9-tyraO4Du6r3WgOgteXRIcqyS2xzyCYoKcmvnxgLaDPqPyIhXoBUNf5_pV_EsdR9HkESNQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:35:57.081855
3046,BoredApeYachtClub,420.0,291.19899999999996,overpriced,Bored Unshaven Pizza,Orange,Golden Brown,,Robot,Commie Hat,,https://lh3.googleusercontent.com/53gBw8JOSaAhvLclmUQEzG-smqxiKUVB_mNS43nvysi7A--1CeccACZSwkdM_neH6XbBdHpK1PrmP9kOt5rv0xvCq70pff5lO0ov,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:36:18.835618
3052,BoredApeYachtClub,250.0,79.91699999999999,overpriced,Bored,Yellow,Brown,Black T,Scumbag,,Gold Stud,https://lh3.googleusercontent.com/qnUKzufxA3A6F7VEQidY_ZlsGKrwBrrex6Uyd0GyClY2kHC6Wf_ZAc-d15-qlbnSNZ859rIM5FPiCyjvU8kJqZNFNny-45GTf8XMF_0,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:36:28.368738
3058,BoredApeYachtClub,94.7,115.32549999999999,underpriced,Discomfort,Yellow,Robot,Hawaiian,X Eyes,Fez,,https://lh3.googleusercontent.com/kClkEclXLKmqmjOzRJCwkzeLdi2xy80NHyzm6DMRm7fE8NopNZJ7cXWN3HVUAPrR785hSkSZW4_CX8YvTaSrFX4K112VZ4NRmMgDRVE,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:36:38.235815
3071,BoredApeYachtClub,90.0,92.67999999999999,underpriced,Bored,Army Green,Black,Work Vest,Blindfold,Bunny Ears,Silver Stud,https://lh3.googleusercontent.com/lBp9FF8W7DOZFdHJSuJLS9d5a5FtFyUfrZw93jej7T15I9U4BuvfElFinkjAQaZC7JUAlvcdPy5Mzw2xpZO5o-ZrbgebvUFB7USy,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:36:58.534167
3082,BoredApeYachtClub,111.0,150.22545,underpriced,Bored,Purple,Brown,Striped Tee,Bored,Faux Hawk,,https://lh3.googleusercontent.com/gj_nXPt-feFh_JAO2Nk8sZJrAAmg2aYY_yoNOoVvSKK6rXe5vk5kBxVYlku0pWuV7SaPR0gjlqEk5QsoHkU5Cu3Qn3ZhtE3_jEZUBQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:37:15.405113
3086,BoredApeYachtClub,400.0,228.5655,overpriced,Discomfort,Yellow,Cream,,Zombie,Bayc Flipped Brim,,https://lh3.googleusercontent.com/21H7iAcGLQMtUAH5uN8z8kQE_xcH0CC0Zs2ldnEemVvSQwGXPdWAcqq_9_jlT2XKqSYawbRZ9swj7kUgHGsd4dAVf2en5z2WxyzXww,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:37:21.605605
3090,BoredApeYachtClub,99.0,96.45599999999999,overpriced,Bored,Blue,White,Service,Zombie,,,https://lh3.googleusercontent.com/_ynKRgfbEY7LExIQgA7Lj_n2jaO3kTY4YEaqiMeFjrQ9e9qTMkEUZWkxhZTrqfCVuEvKryb3k6FkPXYMPBQRUzCdT6SOO_iu-dVZAkY,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:37:27.790548
3108,BoredApeYachtClub,300.0,238.72710999999998,overpriced,Bored Unshaven Kazoo,Purple,Cheetah,Sailor Shirt,Scumbag,Stuntman Helmet,,https://lh3.googleusercontent.com/FnHaCYksrkwCe2_qrlu6eRlWIQG2qD3FdsdrXogqT6XupTbH2XtvSkAIqdrtlppjOLBes76a82Uw0T2jvfDQh2b4i69BS7aUdwynnA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:37:56.000419
3112,BoredApeYachtClub,110.0,93.18699999999998,overpriced,Bored Unshaven,Army Green,Dark Brown,,Bored,,Silver Hoop,https://lh3.googleusercontent.com/BXX3AW6brbOiaKbxeDTDUWafHIhhP9fWw4-NKjdsU2oA2RoZJyQOZ6HD4m4TuC6ZCprV4FelkrXtHI7zc0kbCypH1w7QqZiQkIS7V-E,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:02.150752
3116,BoredApeYachtClub,180.0,85.12549999999999,overpriced,Bored Unshaven,Aquamarine,Brown,Navy Striped Tee,Closed,Party Hat 2,,https://lh3.googleusercontent.com/5Hcrpv5kdpoZ-nYgLzhegIlUmRbwolYodpSWcEXIFBQO-CIxIiAhPMgdaQ3KpF0ih_quFamf3VUyR13bM3JOmdHJ7Bdk7enKrejEEg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:08.262491
3118,BoredApeYachtClub,60.5,75.88799999999999,underpriced,Bored Unshaven,Army Green,Black,Space Suit,Bloodshot,,Gold Stud,https://lh3.googleusercontent.com/1ZSBJKKFk5ODfH4JOxrv2v60IdpGsmctw4HNr270pCmxO6tgjyLHEKHJgBfKMjTnLJfe1x57MF5FKUI-13QsZJaDwkwg7WfwgGSe,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:11.428550
3121,BoredApeYachtClub,106.888,106.2012,overpriced,Phoneme  ooo,Blue,Dark Brown,Prison Jumpsuit,Coins,Horns,,https://lh3.googleusercontent.com/ZMFINs-r7l-L8FeaRA9UQ83BJ5t12XowwrJrSZsnBYRnTIFyLvbVl9g4_1Mv8R-S9Yfec6AKWvv3pwkjbDXTxQ1ckVvTEjF8RC0iWg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:15.826520
3125,BoredApeYachtClub,84.11,81.86699999999999,overpriced,Bored,Army Green,Black,Prom Dress,Sad,Army Hat,,https://lh3.googleusercontent.com/iAOK7tyz7BnxDtieLfCJR5bCw9ZRPRp8vM2-9Ku8aui-V0sAzvop7hzDzXFcesBiYDRvIVJ-yRIT5MESkBkufLOAJWRB2PFG2eo_Mg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:22.103297
3129,BoredApeYachtClub,111.0,106.731,overpriced,Bored Unshaven,Purple,Golden Brown,Striped Tee,Bored,Sea Captain's Hat,,https://lh3.googleusercontent.com/dCn0ZHY-H_QX6_R35a49XjmVcv773NnS135T5rwrBF462x7RjnL-qnfn3zKqcm52g8fTc7xvuASg91fQtxa5ml69jc6Z18VF72mj5A,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:28.503288
3130,BoredApeYachtClub,150.0,130.3195,overpriced,Jovial,Purple,Gray,Sleeveless T,Bloodshot,Bowler,Silver Stud,https://lh3.googleusercontent.com/acp4f6jjwKnWs4WP-7a9GvDnD_xMXwKz6plVMjgLAVkhGC5OY9DPPfu5gvstLmgPMyfOqCF5MMbvTnC99ctLz-FT5-lczxyJMhlD2Q,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:30.046332
3132,BoredApeYachtClub,90.0,84.65199999999997,overpriced,Grin,Aquamarine,Pink,,Sad,,,https://lh3.googleusercontent.com/vZ-Oyi4NGpg_oO5pR_eMRSfDvfsz4Hxdr1KuRryxRX7BYzeLKCGdAhSzIEQn_RYQ2jGGU4aacdr0fOe53UGoPGg3I62NC43L-dkYS6Q,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:38:33.238044
3160,BoredApeYachtClub,149.69,102.25699999999998,overpriced,Tongue Out,Army Green,Blue,,Robot,,,https://lh3.googleusercontent.com/KVATVR1-5G9_ClyxrHlX8AD-eqVDesEJlu8uRqXyGVYHVI-DJzvtLM1g6blaJNqCcUaEUfgoCOGcLVZa8CMWCEyc87h3K6bTU07YU3E,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:39:17.086527
3163,BoredApeYachtClub,135.0,114.42949999999999,overpriced,Bored,Blue,Brown,Bone Necklace,Robot,Prussian Helmet,,https://lh3.googleusercontent.com/tZFQoBUIpmheFafv1ERFOA5tni_aMyapjXPBffo9SptIprHanq75xjcnArkphX5lTbaTD3nP6pdQD7NnnUwxiIeg2zDkxNvLEQHtsw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:39:21.687366
3169,BoredApeYachtClub,60.0,72.781,underpriced,Discomfort,Blue,Dark Brown,Tanktop,Robot,Stuntman Helmet,Silver Hoop,https://lh3.googleusercontent.com/8AqjHfqXnPUMFUycF9ajfcrOU9WHaWyItjviHTUGo0bP8KkCpOow0MDvmObgp-rPw6Y6A_61rRq_MQs4X7pNNtg8Qb0Rpiv98rc6jQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:39:31.253380
3180,BoredApeYachtClub,73.12,100.63499999999999,underpriced,Bored Unshaven,New Punk Blue,Brown,Bandolier,Holographic,Bayc Hat Red,,https://lh3.googleusercontent.com/KNQyeD89MMte906A_hIFzjfpJfvex5qT28W78bj8B6M-OJaMa45J_aH_g2oZcIpgnIhmgKKEprMMHIMzDUvVdl21oGFGWhOJA06XSA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 16:32:27.977471
3181,BoredApeYachtClub,85.01,85.47600000000001,underpriced,Grin Multicolored,Purple,White,Wool Turtleneck,Bored,,,https://lh3.googleusercontent.com/QQH_M3J16-6bw53eqdif70AGLKB2ra9qhCCOPhBiklndbhaA_gXwKyznpLM1r1I4X5D54Ae-wt9y263rXhFit_tg4KxDOA1l2_KJrw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 16:32:29.844188
3183,BoredApeYachtClub,73.12,98.93649999999998,underpriced,Bored Pipe,Army Green,Gray,,X Eyes,Irish Boho,,https://lh3.googleusercontent.com/sU-ZGfxnBhvrIQmybYDTWvcjcFV0qPOmaU6FrXO0zxcJjApKqLuSLbn2rT4CZwv9B2KZc8ObVBRIQFXgt-pyc3R_z8PcTPC9wA1FzQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 16:32:33.400906
3184,BoredApeYachtClub,125.01,122.41550000000004,overpriced,Grin,Gray,Dark Brown,Blue Dress,Sunglasses,King's Crown,Silver Hoop,https://lh3.googleusercontent.com/mpzHPWD-OYX90m92YDlIcjoAQfwdFpuA-IH8x_Y1V4QHH9FM5Q2G4ld7BFM8SX5XgI924eHxFSn65rtHELw2rE3ODVzi4S5Fp4TMJ6o,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 16:32:35.084242
3185,BoredApeYachtClub,73.12,79.66799999999996,underpriced,Grin,Army Green,Tan,Toga,Wide Eyed,Seaman's Hat,Gold Stud,https://lh3.googleusercontent.com/YNtlI3VLI-NbxqzH19w3Kn9-BJfG1rRP0fwpkKuAi8ilGmcdAkSR9uTrl4ns4SPoXr1poHanqMKqfDKKWWBlq7yqt-XHAHNWFQRztw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 16:32:36.800404
